Ano,DTCC,Distrito,Concelho,Num_IncendiosRurais,AreaArdPov_NoConcelho,AreaArdMato_NoConcelho,AreaArdAgric_NoConcelho,AreaArdTotal_NoConcelho,AreaArdPov_IncendioInicioConc,AreaArdMato_IncendioInicioConc,AreaArdAgric_IncendioInicioConc,AreaArdTotal_IncendioInicioConc,NIncRur_0_1ha,NIncRur_1_10ha,NIncRur_10_20ha,NIncRur_20_50ha,NIncRur_50_100ha,NIncRur_100_500ha,NIncRur_500_1000ha,NIncRur_1000_n_ha,NInc_Natural,NInc_Negligente,NInc_Intencionais,NInc_Reacendimentos,NInc_Desconhecida,NInc_NaoInvestigados,Ninc_Sup24h
2001,101,AVEIRO,ÁGUEDA,84,,,,,7.9,2.2,0.0,10.1,83,1,0,0,0,0,0,0,0,1,0,3,0,80,0
2001,102,AVEIRO,ALBERGARIA-A-VELHA,87,,,,,55.9,7.8,0.0,63.7,74,11,2,0,0,0,0,0,0,0,2,6,0,79,0
2001,103,AVEIRO,ANADIA,65,,,,,10.1,1.9,0.0,12.1,62,3,0,0,0,0,0,0,0,1,5,2,0,57,0
2001,104,AVEIRO,AROUCA,253,,,,,564.0,374.2,0.2,938.4,203,38,3,2,4,3,0,0,0,3,1,0,0,249,1
2001,105,AVEIRO,AVEIRO,39,,,,,0.1,1.5,0.6,2.1,39,0,0,0,0,0,0,0,0,0,0,2,0,37,0
2001,106,AVEIRO,CASTELO DE PAIVA,117,,,,,46.1,4.7,0.1,50.9,103,14,0,0,0,0,0,0,0,0,0,0,0,117,1
2001,107,AVEIRO,ESPINHO,120,,,,,2.0,14.9,0.1,16.9,113,7,0,0,0,0,0,0,0,0,0,0,0,120,0
2001,108,AVEIRO,ESTARREJA,29,,,,,1.4,0.6,0.0,2.1,29,0,0,0,0,0,0,0,0,0,0,0,0,29,0
2001,109,AVEIRO,SANTA MARIA DA FEIRA,511,,,,,17.7,139.2,1.1,158.0,483,25,2,1,0,0,0,0,0,1,0,0,0,510,0
2001,110,AVEIRO,ÍLHAVO,32,,,,,0.6,0.4,0.1,1.1,32,0,0,0,0,0,0,0,0,0,0,2,1,29,0
2001,111,AVEIRO,MEALHADA,36,,,,,3.6,0.5,0.1,4.2,35,1,0,0,0,0,0,0,0,2,2,0,2,30,0
2001,112,AVEIRO,MURTOSA,28,,,,,0.9,0.5,0.0,1.4,28,0,0,0,0,0,0,0,0,1,0,4,0,23,0
2001,113,AVEIRO,OLIVEIRA DE AZEMÉIS,210,,,,,147.7,24.8,0.0,172.5,184,25,0,0,1,0,0,0,0,0,0,0,0,210,0
2001,114,AVEIRO,OLIVEIRA DO BAIRRO,28,,,,,0.4,1.3,0.1,1.9,28,0,0,0,0,0,0,0,0,0,0,0,0,28,0
2001,115,AVEIRO,OVAR,142,,,,,13.1,8.9,0.0,21.9,136,6,0,0,0,0,0,0,0,6,2,16,3,115,0
2001,116,AVEIRO,SÃO JOÃO DA MADEIRA,1,,,,,0.0,0.1,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,117,AVEIRO,SEVER DO VOUGA,33,,,,,7.3,1.8,0.0,9.1,29,4,0,0,0,0,0,0,0,0,0,0,0,33,0
2001,118,AVEIRO,VAGOS,24,,,,,0.5,1.0,0.3,1.8,24,0,0,0,0,0,0,0,0,0,1,1,0,22,0
2001,119,AVEIRO,VALE DE CAMBRA,148,,,,,77.5,19.0,0.2,96.6,135,11,1,1,0,0,0,0,0,0,0,0,0,148,0
2001,201,BEJA,ALJUSTREL,4,,,,,13.0,1.0,0.0,14.0,2,1,1,0,0,0,0,0,0,1,0,0,0,3,0
2001,202,BEJA,ALMODÔVAR,13,,,,,351.0,8.5,0.5,360.0,0,7,3,0,2,1,0,0,0,1,2,0,3,7,0
2001,203,BEJA,ALVITO,3,,,,,0.5,2.0,0.0,2.5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2001,204,BEJA,BARRANCOS,6,,,,,160.0,3.0,44.0,207.0,2,2,1,0,0,1,0,0,0,0,0,1,0,5,0
2001,205,BEJA,BEJA,10,,,,,339.0,290.0,7.0,636.0,0,4,2,1,0,3,0,0,0,1,0,0,3,6,0
2001,206,BEJA,CASTRO VERDE,2,,,,,34.0,0.0,118.0,152.0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
2001,207,BEJA,CUBA,2,,,,,5.0,0.0,0.0,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2001,208,BEJA,FERREIRA DO ALENTEJO,2,,,,,0.5,0.0,0.0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
