Ano,Distrito,Num_IncendiosRurais,AreaArdPov_NoDistrito,AreaArdMato_NoDistrito,AreaArdAgric_NoDistrito,AreaArdTotal_NoDistrito,AreaArdPov_IncendioInicioDist,AreaArdMato_IncendioInicioDist,AreaArdAgric_IncendioInicioDist,AreaArdTotal_IncendioInicioDist,NIncRur_0_1ha,NIncRur_1_10ha,NIncRur_10_20ha,NIncRur_20_50ha,NIncRur_50_100ha,NIncRur_100_500ha,NIncRur_500_1000ha,NIncRur_1000_n_ha,NInc_Natural,NInc_Negligente,NInc_Intencionais,NInc_Reacendimentos,NInc_Desconhecida,NInc_NaoInvestigados,Ninc_Sup24h
2001,AVEIRO,1987,,,,,957,605,3,1565,1821,146,8,4,5,3,0,0,0,15,13,36,6,1917,2
2001,BEJA,121,,,,,1297,641,247,2185,41,43,12,12,7,6,0,0,0,4,2,1,21,93,0
2001,BRAGA,4245,,,,,1816,3229,104,5149,3241,932,35,24,8,5,0,0,0,12,15,2,8,4208,6
2001,BRAGANÇA,1479,,,,,3453,10541,857,14851,702,665,26,41,19,21,2,3,8,86,22,113,7,1243,16
2001,CASTELO BRANCO,577,,,,,6451,5814,0,12265,378,160,5,14,6,8,2,4,9,8,8,27,25,500,19
2001,COIMBRA,832,,,,,4248,3440,84,7772,729,88,2,5,3,1,1,3,3,55,93,28,20,633,5
2001,ÉVORA,53,,,,,1487,111,706,2304,25,11,3,6,3,4,0,1,0,6,1,0,3,43,0
2001,FARO,215,,,,,1633,1546,115,3293,147,54,6,1,2,3,0,2,2,0,3,6,12,192,5
2001,GUARDA,1744,,,,,5725,17640,1525,24890,944,602,58,53,39,38,5,5,5,4,13,79,9,1634,15
2001,LEIRIA,864,,,,,804,672,41,1517,732,112,10,3,3,4,0,0,0,22,40,39,12,751,2
2001,LISBOA,2608,,,,,327,1025,279,1631,2162,432,7,4,2,1,0,0,1,5,4,42,4,2552,3
2001,PORTALEGRE,89,,,,,2301,159,458,2918,49,23,4,6,2,3,1,1,0,4,0,2,3,80,0
2001,PORTO,5982,,,,,2592,2750,31,5374,5113,777,51,30,7,4,0,0,0,2,8,2,3,5967,15
2001,SANTARÉM,1001,,,,,1680,332,124,2136,809,172,12,3,3,1,1,0,0,13,46,48,4,890,14
2001,SETÚBAL,646,,,,,1016,112,310,1438,544,90,3,5,1,3,0,0,0,6,3,4,3,630,2
2001,VIANA DO CASTELO,1688,,,,,2357,2221,24,4601,1104,523,25,22,7,6,1,0,0,16,18,23,11,1620,7
